label,textpositive,Hello this is Michael here Michael Stevens I'm calling from the fraud investigation team from payments online banking
positive,I want to press the green button it to me please thank you let me know once it said HSBC on the welcome screen on the green button it says for me six numbers thank you hope that you please if you don't mind the screen and finally to get you through security at you just have your mother's maiden name for me please and security
positive,no not unfortunately at the moment I've had a look at it on there so will ask you not to log on to the time being why did that should be good for you to stay with me did you not do anything local branch many months yeah it's just close it still on the screen of the bank babe that's all did you try to increase your overdraft limit on
positive,what I'm going to do if you then I am going to block this payment it does mean like I said you're not going to be able to make any payments at all to them again using your online banking is that going to be any problem to you at all in future
positive,hello great what I'm going to do this for me please one last time when you let me know when it's busy on the screen for me if you don't mind and it's a little dash on the screen is it done that the cancellation code is 61881 button what's that authorises payment that is just cancel a payment that's the reference you use to block payments ok I need someone before I go any further
positive,cancellation records already owe me to freeze your account you need to come into a joke a frozen so I do apologise for any inconvenience caused you and you're not going to have access to a count to five working days you know you're speaking to somebody genuine ok because we are using for the highest with the gave you nobody else can correspond through that device you must understand that I gave you a cancellation after it's ok that this payment will you be able to get back on within the phone call and you still be able to get back online you've got nothing to worry about ok
positive,use the cancellation of the green button in the bottom right-hand corner of the device for me if I put that normally the last payment for you that's gonna stop it ok that the cancellation reference on providing you with ok I'm gonna need for me please and PC you need to answer to the cancellation references provided you let me know once you press the green button and it said HSBC ok
positive,Union account to be really inconvenient for you and you're not going to be able to stop the payment at the moment you've only got a balance is just over £60 on any way that would be drawn into an emergency borrowing limit because you haven't actually got an emergency overdraft on there that would bring you into another in it and emergency borrowing limit
positive,all I can do all I can do not have to do it it's Freezy account ok that's good for you it's going to be like that sometimes known regarding the investigation to cancel if you can't stop the payment for it goes out then it's going to be a bit more difficult but quite a lot more convenient needs to be used straight back onto online banking value on the phone ok that's all I needed to do for your security team in this department parcel
positive,HSBC you can call HSBC on the number on the back of your card at any time that customer services are not going to help you with the investigation it can be a value is to be avoided if we can stop the payment using the reference that we gave you sorry about that ok
positive,an advertising company called The Wedding coordinator have you heard of them today no sorry where are you calling from online banking services from HSBC fraud detection team have you been on to the online banking
positive,are you on the website for the mobile app website not the actual key for itself as you physically turned it on today and if used that anyone else or is it just you and wedding coordinator the other heard of that company
positive,payment from you today 12 time they're all the same payment 209 x 12000
positive,then you will have to go to basic security and then in a moment your secure key fob that we gave you that the payment have you got a pen and paper your reference got the payment is
positive,the moment will turn on the device and it will ask you for the cancellation reference I have to make you aware because it's recorded call once you've dropped that payment to block you won't be able to make that payment again if it doesn't a later date or not to be genuine which is highly unlikely but I do have to make you aware of that regard
positive,Kayla and the voice you've got no one else is used at all is that right and it's all ok then you still got the answer me please hold the green button in the bottom right-hand corner for me
positive,it will only be secure key for that interests you using the device remember to never give up to anybody want to see HSBC on the screen it will be given this information out those numbers change every time elephant story about the pin number that you told him to ask for your password any circumstances
positive,turn off you'll see that the number change every time let me just explain the process that we going through before we do it ok that's how you know this is a genuine call OK Google never ask you for your password for your online banking we will never ask you for your card number expiry date in granny account numbers we will use the device in the ask you to confirm the name of the your favourite pizza topping for example your best friend at school for example we do ask that will never ask for password but I wouldn't do in a moment the device is going to ask you for that cancellation reference ok to have provided you with 6188

